iter	MultiClass
0	1.902441797
1	1.771940679
2	1.672129441
3	1.58674598
4	1.518496054
5	1.46338753
6	1.40660254
7	1.360746479
8	1.317537168
9	1.280246878
10	1.247439265
11	1.221654004
12	1.199193042
13	1.172638147
14	1.148475249
15	1.127264486
16	1.106416435
17	1.085265697
18	1.071091672
19	1.059075807
20	1.041973342
21	1.028372508
22	1.015084187
23	1.001893655
24	0.989356653
25	0.9821412341
26	0.9688718152
27	0.9572956901
28	0.9466175008
29	0.9381084004
30	0.9309020536
31	0.9250037683
32	0.9167906946
33	0.9105106491
34	0.900823565
35	0.8931682363
36	0.8871559192
37	0.8784464176
38	0.8718388583
39	0.8642165999
40	0.8572645018
41	0.8526038248
42	0.8445860099
43	0.8385263541
44	0.8327877769
45	0.8274982238
46	0.8193704231
47	0.8128177399
48	0.8075478808
49	0.8009902126
50	0.7960824367
51	0.7931411511
52	0.7886588641
53	0.7855070545
54	0.7808069581
55	0.7751981999
56	0.7716514708
57	0.7675831813
58	0.7635914146
59	0.7589079174
60	0.7556033889
61	0.7509042117
62	0.7464317999
63	0.7409623446
64	0.7375026925
65	0.731386277
66	0.728664491
67	0.7249563785
68	0.7194482361
69	0.7132176623
70	0.7092131667
71	0.7053191994
72	0.7014571325
73	0.6983080782
74	0.6950352203
75	0.6932948652
76	0.6908313604
77	0.6885009518
78	0.6852012063
79	0.6813185096
80	0.6772743039
81	0.6734756527
82	0.6698273981
83	0.6668945242
84	0.6633652493
85	0.6598504663
86	0.6580886949
87	0.6543348757
88	0.6502844924
89	0.6476859773
90	0.6446876132
91	0.641128646
92	0.6387047403
93	0.6358717693
94	0.6329964822
95	0.6309137792
96	0.6286334432
97	0.625306221
98	0.6227373206
99	0.6199253731
100	0.6172337558
101	0.6149378404
102	0.6123584573
103	0.6100720249
104	0.6078795835
105	0.605579391
106	0.6030591756
107	0.6008453998
108	0.5978620872
109	0.5947390391
110	0.5919745086
111	0.5891344944
112	0.5867950432
113	0.583368389
114	0.5815422975
115	0.5797072863
116	0.5767700153
117	0.5748144759
118	0.5730214092
119	0.5713183859
120	0.5688785306
121	0.5665064171
122	0.5637839948
123	0.5615192091
124	0.5579662125
125	0.555214884
126	0.5533200116
127	0.5509767526
128	0.5483149443
129	0.5451811924
130	0.5432814845
131	0.5417168019
132	0.5401402369
133	0.5379948199
134	0.5358694018
135	0.5336914113
136	0.5321822352
137	0.5307719596
138	0.5291952693
139	0.5270748636
140	0.5248580172
141	0.5228026412
142	0.5212919491
143	0.517729894
144	0.5162378756
145	0.5137936288
146	0.5115427782
147	0.5104312713
148	0.5088503274
149	0.5075432717
150	0.5052738931
151	0.504593615
152	0.5026592505
153	0.5007202935
154	0.4989381688
155	0.4980842596
156	0.4964941305
157	0.4951246982
158	0.4934615988
159	0.4921715807
160	0.4910635171
161	0.4891176842
162	0.4872871943
163	0.4862146797
164	0.484369937
165	0.4827882714
166	0.480770053
167	0.4788809503
168	0.4778794939
169	0.4763921909
170	0.4747785488
171	0.4733643985
172	0.4719245374
173	0.4704990486
174	0.4697831943
175	0.4682154758
176	0.4667355276
177	0.464931301
178	0.4630883383
179	0.4617294804
180	0.4611328386
181	0.4579844307
182	0.4565201543
183	0.4548618679
184	0.4529727097
185	0.4517187944
186	0.4502407358
187	0.4486245662
188	0.446774819
189	0.4454458289
190	0.4441548633
191	0.442172332
192	0.4416607132
193	0.4406398218
194	0.4391106149
195	0.4384284104
196	0.4372421734
197	0.4360329017
198	0.4341255887
199	0.4331392544
200	0.431685322
201	0.4305512432
202	0.4296578497
203	0.4282864607
204	0.4273615839
205	0.4263431191
206	0.4254526733
207	0.4239159186
208	0.4229837558
209	0.421787509
210	0.4207277525
211	0.4195662402
212	0.417757606
213	0.4166829231
214	0.415814619
215	0.414392438
216	0.4135091469
217	0.4123645462
218	0.4116759554
219	0.4105247621
220	0.4091627503
221	0.4078456596
222	0.4068471206
223	0.4058149608
224	0.4046713085
225	0.4034159218
226	0.4026480138
227	0.4015795142
228	0.4005865954
229	0.3998355734
230	0.399153966
231	0.3976927993
232	0.3967951189
233	0.3954730944
234	0.3947791098
235	0.3927757373
236	0.3920198554
237	0.3913347687
238	0.3899833474
239	0.3892677918
240	0.3884695399
241	0.3875422602
242	0.3866885455
243	0.3859672607
244	0.3849931726
245	0.3842037627
246	0.3830705943
247	0.3821924669
248	0.381495708
249	0.3802517105
250	0.3793097944
251	0.3786989558
252	0.3776358629
253	0.3769509442
254	0.3760106394
255	0.3751492796
256	0.3741726618
257	0.3730236412
258	0.372416632
259	0.3720735566
260	0.370996889
261	0.3694349897
262	0.3682566508
263	0.3677782756
264	0.3671011217
265	0.3658744968
266	0.3649008508
267	0.3642092213
268	0.3633670642
269	0.3624399002
270	0.3619376423
271	0.3611622992
272	0.3604538065
273	0.3585900763
274	0.3579068249
275	0.3569371384
276	0.3562164271
277	0.3556248496
278	0.354892216
279	0.3538676478
280	0.3523476458
281	0.3512737949
282	0.3503995503
283	0.3490383281
284	0.3482865784
285	0.3474224868
286	0.3467207125
287	0.3462353236
288	0.345347318
289	0.3450468981
290	0.3444049429
291	0.3432949574
292	0.3420904634
293	0.3413862839
294	0.340564814
295	0.3398116181
296	0.3388650783
297	0.3380680961
298	0.3374297587
299	0.336401461
300	0.3352672951
301	0.3342313307
302	0.3337435869
303	0.3323910059
304	0.3316684088
305	0.331336027
306	0.330344187
307	0.3297597646
308	0.3287009359
309	0.3273425372
310	0.3259918068
311	0.3250643865
312	0.3247467239
313	0.3242847946
314	0.3239134207
315	0.3234130768
316	0.3225151159
317	0.3217827998
318	0.3210322561
319	0.3203828755
320	0.3192534329
321	0.3186868904
322	0.3181624043
323	0.3177282806
324	0.3170724775
325	0.3165007367
326	0.3158943297
327	0.315432114
328	0.3149650308
329	0.314393912
330	0.3138807216
331	0.3127146503
332	0.3121026878
333	0.3114847755
334	0.3107016046
335	0.3099282694
336	0.3094423398
337	0.3081076669
338	0.3078586697
339	0.3073592484
340	0.3065490245
341	0.3059351654
342	0.3051789107
343	0.304898043
344	0.3045062678
345	0.3036869039
346	0.302597356
347	0.3016379239
348	0.3008774803
349	0.30038266
350	0.2993376265
351	0.2984684797
352	0.2977033548
353	0.2970128785
354	0.2963195321
355	0.295457151
356	0.2949853978
357	0.2945122935
358	0.2939856294
359	0.2928995091
360	0.2926355397
361	0.2919972302
362	0.2910508437
363	0.2907630252
364	0.289815737
365	0.2891420492
366	0.2887695439
367	0.2883953483
368	0.2875636912
369	0.2872435757
370	0.2867611106
371	0.2860631442
372	0.2854322458
373	0.2844084398
374	0.2838206723
375	0.2833026263
376	0.2825928718
377	0.2822121884
378	0.2814118582
379	0.2806850906
380	0.280424322
381	0.2799498276
382	0.2791529943
383	0.2785836104
384	0.2779135195
385	0.2771554917
386	0.2765956411
387	0.2757280963
388	0.2745737582
389	0.2740611778
390	0.2736258159
391	0.2730398923
392	0.2726697534
393	0.2723469391
394	0.2717576377
395	0.2705175267
396	0.270006658
397	0.2696279505
398	0.2692278243
399	0.268773763
400	0.2683240979
401	0.2678198227
402	0.2672030456
403	0.2667648468
404	0.2660852916
405	0.2656550037
406	0.2645779906
407	0.263746576
408	0.2633383609
409	0.2624308536
410	0.26195041
411	0.2612216563
412	0.2606641299
413	0.2597990185
414	0.2590566151
415	0.2582115789
416	0.2576729811
417	0.2573150612
418	0.2566389641
419	0.2563302349
420	0.255608986
421	0.2551978905
422	0.2546524626
423	0.2541980392
424	0.2538425062
425	0.253150765
426	0.2524794375
427	0.2519357099
428	0.2511570092
429	0.2505783976
430	0.2501985369
431	0.249833303
432	0.2491548961
433	0.2483510421
434	0.2481303735
435	0.2475842602
436	0.2469103135
437	0.2464863824
438	0.2459374078
439	0.2454611249
440	0.2448533611
441	0.2444769724
442	0.2441578681
443	0.2436574088
444	0.2427025462
445	0.2424096167
446	0.2421877368
447	0.2417305342
448	0.24104684
449	0.240549784
450	0.2401988009
451	0.2396280941
452	0.2390275938
453	0.2383824735
454	0.2376592579
455	0.2373565735
456	0.236868382
457	0.2365568882
458	0.2362386309
459	0.2359288727
460	0.2355456664
461	0.2353160315
462	0.2345690129
463	0.234223726
464	0.2339292179
465	0.2331283151
466	0.2327248146
467	0.2325512727
468	0.2322511413
469	0.231865178
470	0.2310995257
471	0.2308916743
472	0.2303304954
473	0.2297163234
474	0.2293552299
475	0.2289648899
476	0.2282725498
477	0.2279273716
478	0.2277064599
479	0.2271990983
480	0.2267852857
481	0.2264457811
482	0.2259492232
483	0.22535686
484	0.2250838416
485	0.2245778869
486	0.224303281
487	0.2239027354
488	0.2235646672
489	0.2230646477
490	0.2224333542
491	0.2220162134
492	0.2218042679
493	0.2216132707
494	0.2214278958
495	0.2210154557
496	0.2204929084
497	0.2199376089
498	0.219587965
499	0.219313673
500	0.2190976037
501	0.2186769751
502	0.2184340718
503	0.2179431252
504	0.2175892217
505	0.2172010678
506	0.2166389982
507	0.2161255118
508	0.2157343182
509	0.2155309258
510	0.2150467578
